# Wo,Ar,sample_sigma,prediction,abs_error,rel_error
5.677445421287902860e+00,2.121580557625198260e+00,3.736857688970837699e-01,-3.479470252990722656e+00,3.853156089782714844e+00,1.031121921539306641e+01
8.536352271517189116e-01,1.125604553319843548e+00,1.318601338742299678e+00,3.265305757522583008e+00,-1.946704387664794922e+00,-1.476340293884277344e+00
4.034339857928322282e+00,7.582940533760918811e+00,1.879598844122875700e+00,5.932241678237915039e-01,1.286374688148498535e+00,6.843878626823425293e-01
1.292018430657284833e+00,7.150416331611594956e+00,5.534299017680409882e+00,7.664875507354736328e+00,-2.130576610565185547e+00,-3.849767744541168213e-01
1.759922609598192911e-01,8.595870332879034237e+00,4.884232003156975566e+01,3.657432937622070312e+01,1.226799011230468750e+01,2.511754333972930908e-01
3.736160290144307172e+00,1.799047857482577228e+01,4.815231996947030524e+00,5.507122516632080078e+00,-6.918907165527343750e-01,-1.436879336833953857e-01
3.583761518315584649e+00,1.862227213640912993e+01,5.196292231287155339e+00,5.823831558227539062e+00,-6.275391578674316406e-01,-1.207667142152786255e-01
2.376337456024848027e+00,7.499998271697769781e+00,3.156116675551549733e+00,4.713345050811767578e+00,-1.557228326797485352e+00,-4.934000968933105469e-01
1.410051096837044771e+00,1.328353334914923956e+01,9.420604245439182733e+00,1.092364788055419922e+01,-1.503043174743652344e+00,-1.595484763383865356e-01
2.354082454641174937e+00,6.316509509253645405e+00,2.683215066150455019e+00,3.695514440536499023e+00,-1.012299299240112305e+00,-3.772710263729095459e-01
1.893924902625058637e+00,1.595033326646746907e+01,8.421840403682132603e+00,5.435856819152832031e+00,2.985983848571777344e+00,3.545524179935455322e-01
4.178370407130922004e+00,9.474028885210802997e+00,2.267398043275953956e+00,3.864300727844238281e+00,-1.596902608871459961e+00,-7.042886018753051758e-01
1.684257470580563520e+00,1.878628337253929814e+01,1.115404485399947099e+01,8.904709815979003906e+00,2.249335289001464844e+00,2.016609460115432739e-01
1.345782950294314828e+00,1.092432544051523990e+01,8.117449725549095163e+00,7.136902332305908203e+00,9.805474281311035156e-01,1.207950115203857422e-01
3.578484446125073326e+00,1.559913928607487144e+01,4.359146873746020390e+00,3.999988079071044922e+00,3.591589927673339844e-01,8.239203691482543945e-02
4.084418990109515590e+00,8.138150660182176921e+00,1.992486735540314635e+00,2.933493137359619141e+00,-9.410064220428466797e-01,-4.722774028778076172e-01
1.893760423146387373e+00,1.542050906549942191e+01,8.142798253159725164e+00,9.405873298645019531e+00,-1.263074874877929688e+00,-1.551155745983123779e-01
1.538804379864667782e+00,1.365071604085125756e+01,8.870988554147338334e+00,1.078936195373535156e+01,-1.918373107910156250e+00,-2.162524610757827759e-01
2.517624569652937794e+00,1.009145244675610087e+01,4.008322991599672314e+00,5.589457035064697266e+00,-1.581133842468261719e+00,-3.944626748561859131e-01
2.138498787963726055e+00,3.551762781957918058e+00,1.660867334575343968e+00,7.223143577575683594e+00,-5.562276363372802734e+00,-3.349019050598144531e+00
2.757502919870939539e+00,1.333673893969040591e+01,4.836527585731301038e+00,4.677533626556396484e+00,1.589937210083007812e-01,3.287352994084358215e-02
3.325129184743771837e+00,1.347718606278499820e+01,4.053131566923925178e+00,3.421266555786132812e+00,6.318650245666503906e-01,1.558955162763595581e-01
3.892549338705102446e-01,3.704454668379440818e+00,9.516782822878147030e+00,1.049154853820800781e+01,-9.747657775878906250e-01,-1.024259775876998901e-01
7.715331484639482706e-01,3.941746644271007849e+00,5.108978988289307743e+00,9.716909408569335938e+00,-4.607930183410644531e+00,-9.019277691841125488e-01
3.724113527881397712e+00,7.294260203664646447e+00,1.958656778063976089e+00,3.892251968383789062e+00,-1.933595180511474609e+00,-9.872046709060668945e-01
1.381880237506675213e-01,2.357463827412205504e+00,1.705982735280862528e+01,5.148860454559326172e+00,1.191096687316894531e+01,6.981880068778991699e-01
9.587570107415888110e-01,1.606529960575589389e+00,1.675638292681640440e+00,3.526676177978515625e+00,-1.851037859916687012e+00,-1.104676246643066406e+00
9.270580888123367558e-01,1.086042550492036440e+01,1.171493527318634875e+01,9.939961433410644531e+00,1.774973869323730469e+00,1.515137553215026855e-01
3.894166101367495081e+00,8.386902362920849896e+00,2.153709457841478159e+00,2.970170259475708008e+00,-8.164608478546142578e-01,-3.790951669216156006e-01
4.042750194066886849e+00,1.965284670175202919e+01,4.861256757984803833e+00,3.578667879104614258e+00,1.282588720321655273e+00,2.638389170169830322e-01
2.262298233424998806e+00,5.942473688136361787e+00,2.626741956625132435e+00,5.342725753784179688e+00,-2.715983867645263672e+00,-1.033974409103393555e+00
4.219612084339382285e+00,9.181308806091461605e+00,2.175865606264344443e+00,3.028570175170898438e+00,-8.527045249938964844e-01,-3.918920755386352539e-01
1.584718030209809836e+00,5.633588940704074233e+00,3.554947210361588450e+00,6.844659328460693359e+00,-3.289712190628051758e+00,-9.253898859024047852e-01
1.607910413690660567e+00,1.754826751025123954e+01,1.091370971966805214e+01,8.171821594238281250e+00,2.741888046264648438e+00,2.512333691120147705e-01
4.397095918637783818e+00,1.496416258317027470e+01,3.403192211418976765e+00,3.525058269500732422e+00,-1.218659877777099609e-01,-3.580931574106216431e-02
4.261703160457473993e-01,1.941119001799163080e+00,4.554796354213447529e+00,5.450012683868408203e+00,-8.952164649963378906e-01,-1.965436935424804688e-01
4.068766926028188458e+00,1.251814071888288105e+01,3.076642370149897499e+00,4.691726684570312500e+00,-1.615084409713745117e+00,-5.249503254890441895e-01
1.834172055659641920e+00,1.762971306549628636e+00,9.611809868707181792e-01,2.975771903991699219e+00,-2.014590978622436523e+00,-2.095953941345214844e+00
3.612861583681429956e+00,5.688799486106582037e+00,1.574596577904270323e+00,2.616777420043945312e+00,-1.042180895805358887e+00,-6.618717312812805176e-01
7.501956331301580239e-01,3.847443407081370115e+00,5.128586780794875288e+00,1.124762248992919922e+01,-6.119035720825195312e+00,-1.193123221397399902e+00
5.690222477236013265e-01,5.400293347461952997e+00,9.490478393535694224e+00,1.512572669982910156e+01,-5.635248184204101562e+00,-5.937791466712951660e-01
6.895882035764565599e-01,4.089622968697980809e+00,5.930529187546568437e+00,1.146904373168945312e+01,-5.538514614105224609e+00,-9.338989257812500000e-01
2.435889085977565038e+00,1.203173340054552298e+01,4.939360116931176492e+00,6.507865428924560547e+00,-1.568505287170410156e+00,-3.175523281097412109e-01
2.099429672936195423e+00,8.154648112864798293e+00,3.884220661442765010e+00,7.987460136413574219e+00,-4.103239536285400391e+00,-1.056386828422546387e+00
8.328563434619347117e-01,5.626974405774796573e+00,6.756236474570328276e+00,1.384995651245117188e+01,-7.093719959259033203e+00,-1.049951434135437012e+00
9.110591325780901251e-01,4.306712963317053777e+00,4.727149763737107158e+00,1.261437225341796875e+01,-7.887222290039062500e+00,-1.668494224548339844e+00
3.874721631249623321e+00,1.590948013891659407e+01,4.105967254681385015e+00,4.995704650878906250e+00,-8.897376060485839844e-01,-2.166938036680221558e-01
3.776205720108946284e+00,7.738371551672880599e+00,2.049245227945267533e+00,9.350918531417846680e-01,1.114153265953063965e+00,5.436896085739135742e-01
1.662360722273799496e+00,4.933607013388406237e+00,2.967831799250016278e+00,9.666035652160644531e+00,-6.698204040527343750e+00,-2.256935119628906250e+00
2.625551989777975326e+00,1.855971041997910076e+00,7.068879417447212488e-01,1.347283482551574707e+00,-6.403955221176147461e-01,-9.059363603591918945e-01
1.466319806976596363e+00,3.956572924522098411e+00,2.698301493096621595e+00,8.877237319946289062e+00,-6.178936004638671875e+00,-2.289935350418090820e+00
4.600717708261038652e+00,1.680555544726638928e+01,3.652811694377677387e+00,4.608036518096923828e+00,-9.552247524261474609e-01,-2.615039646625518799e-01
1.850654905969905339e+00,1.909803476209454232e+01,1.031960885872749678e+01,9.121594429016113281e+00,1.198014259338378906e+00,1.160910576581954956e-01
2.707393654158221530e+00,1.040511067481419616e+01,3.843220456261775109e+00,5.362765789031982422e+00,-1.519545316696166992e+00,-3.953833281993865967e-01
4.824352722895939749e+00,9.418776709506690992e+00,1.952339982274935215e+00,3.700594186782836914e+00,-1.748254179954528809e+00,-8.954660296440124512e-01
9.795211685060876139e-01,1.042764794197269751e+01,1.064565859038695450e+01,1.059778118133544922e+01,4.787731170654296875e-02,4.497355781495571136e-03
9.958507548895825234e-01,7.309763835597482107e+00,7.340220208406599056e+00,1.518832588195800781e+01,-7.848105907440185547e+00,-1.069192171096801758e+00
4.129414041497726728e+00,3.849947822801977892e+00,9.323230327869015399e-01,1.707589149475097656e+00,-7.752661108970642090e-01,-8.315423727035522461e-01
1.296459034748889572e+00,2.023395602275566141e+00,1.560709245755286689e+00,2.157758951187133789e+00,-5.970497131347656250e-01,-3.825502395629882812e-01
3.769710238278466186e+00,3.635768085484746504e+00,9.644688465883552997e-01,3.272456169128417969e+00,-2.307987213134765625e+00,-2.393013715744018555e+00
2.328901994365631722e+00,1.004551464708167074e+01,4.313412359723606038e+00,4.392344474792480469e+00,-7.893228530883789062e-02,-1.829926855862140656e-02
2.520534432296291705e+00,7.383355817702664581e+00,2.929281870978520441e+00,5.863819599151611328e+00,-2.934537649154663086e+00,-1.001794219017028809e+00
1.388640855461897639e+00,5.696797278167601952e+00,4.102426668321450975e+00,7.875687599182128906e+00,-3.773261070251464844e+00,-9.197632074356079102e-01
1.103560012859817308e+00,1.029370655742246043e+01,9.327727026595376003e+00,1.491143989562988281e+01,-5.583712577819824219e+00,-5.986144542694091797e-01
7.108616393719960902e-01,1.539706248098833541e+01,2.165971776813097094e+01,1.554971790313720703e+01,6.109999656677246094e+00,2.820904552936553955e-01
1.773362531306503787e+00,1.879698859042435544e+01,1.059963107294022677e+01,7.881823062896728516e+00,2.717808246612548828e+00,2.564059197902679443e-01
2.854250735546751683e-01,2.646664400515112980e+00,9.272711635153964238e+00,5.436542510986328125e+00,3.836169242858886719e+00,4.137052297592163086e-01
1.859621504384957547e+00,1.827194699691322910e+01,9.825626856770732331e+00,8.505240440368652344e+00,1.320386886596679688e+00,1.343819499015808105e-01
3.550459434660426794e+00,1.802777828014041361e+01,5.077590270191223887e+00,5.562376022338867188e+00,-4.847855567932128906e-01,-9.547550976276397705e-02
3.015466579052531682e+00,9.886950964547873255e+00,3.278746656729448539e+00,5.081468105316162109e+00,-1.802721500396728516e+00,-5.498203039169311523e-01
1.925507845043740174e+00,6.979280283717180566e+00,3.624643909751839477e+00,6.096530437469482422e+00,-2.471886634826660156e+00,-6.819667816162109375e-01
1.956423021799266637e+00,1.228968933317689327e+01,6.281713717452792167e+00,7.135474681854248047e+00,-8.537611961364746094e-01,-1.359121501445770264e-01
1.226214871391828165e+00,9.001132821539584938e+00,7.340583637941654693e+00,2.853625679016113281e+01,-2.119567298889160156e+01,-2.887464284896850586e+00
4.324498936738495614e-01,5.164153668533256081e+00,1.194162316623904907e+01,1.623378944396972656e+01,-4.292166709899902344e+00,-3.594290912151336670e-01
