# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
1.506231702239731796e+00,6.541329725567644360e+00,1.559803964470838356e+00,1.386497497558593750e+00,1.733064765979994148e-01,8.540317685360165889e-02,3.775238678089879452e-01,2.642442767004217075e+01,1.000000000000000000e+03,9.000000000000000222e-01,4.342844275446358537e+00
1.302025199876843953e+00,1.212217823424932917e+01,4.425133686701293811e+00,4.659719467163085938e+00,-2.345857864222570532e-01,5.244116195072329178e-02,2.043185644664709810e-01,4.195436013561494804e+01,1.000000000000000000e+00,9.000000000000000222e-01,9.310248553865120513e+00
3.727509409856630818e+00,1.330300661680504426e+01,2.050873438382747160e+00,8.742483258247375488e-01,1.176625075130483866e+00,6.011155931230318661e-01,1.590574344144460195e+00,5.610147066475230204e+00,1.000000000000000000e+00,8.000000000000000444e-01,3.568872712065591202e+00
4.422413858098755313e+00,1.187786489220370711e+01,2.196211427526818305e+00,1.616465210914611816e+00,5.797463320962055189e-01,3.243325598492013961e-01,5.744894938269545781e-01,4.765100058602520505e+00,1.000000000000000000e+03,9.000000000000000222e-01,2.685832957594369130e+00
1.686898101309296294e+00,6.144603429500495650e+00,1.952680871406170748e+00,1.467321634292602539e+00,4.853592833071682655e-01,2.587974380472043423e-01,2.980138777559228624e-01,1.592259699684263907e+01,1.000000000000000000e+02,9.000000000000000222e-01,3.642545702512393735e+00
1.743088166164457053e+00,8.608994438725691367e+00,4.035331478685063367e+00,3.589411258697509766e+00,4.459206372200671953e-01,1.186660519978653267e-01,2.634458879281568189e-01,8.001286873649039677e+00,1.000000000000000000e+01,9.000000000000000222e-01,4.938932296046261605e+00
4.236453573693818697e+00,1.784708671416621684e+01,2.285055661292271445e+00,8.742483258247375488e-01,1.410807298040008373e+00,6.375437837702901955e-01,2.153143581863170120e+00,7.178196308151601812e+00,1.000000000000000000e+00,8.000000000000000444e-01,4.212742191956823312e+00
3.125924155967002793e+00,8.765962159978933244e+00,5.464205715748098047e-02,8.742483258247375488e-01,-8.196063060947824663e-01,-9.963883338578984894e-01,1.003918529197030285e+00,2.634107039559992813e+01,1.000000000000000000e+03,9.000000000000000222e-01,2.804278582142115006e+00
1.374291232075240732e+00,1.507810828083365706e+01,6.434915172962621277e+00,6.168261051177978516e+00,2.666539548916379010e-01,4.404140284243797387e-02,9.436325744407628169e-02,3.977723104227997908e+01,1.000000000000000000e+01,9.000000000000000222e-01,1.097155241110361068e+01
2.580437180714398870e+00,1.277219729809401372e+01,4.757486407421986030e+00,4.746755599975585938e+00,1.073102202312101704e-02,3.328022186654049086e-02,1.042896846957216406e-01,1.539427086373843068e+00,1.000000000000000000e+01,9.000000000000000222e-01,4.949625355560101525e+00
4.243650666880929734e+00,1.602694690836791125e+01,1.654180059658840962e+00,1.582561254501342773e+00,7.161873810227267767e-02,9.195751811320795888e-02,3.942931380982933609e-02,8.638195982316901222e+00,1.000000000000000000e+02,8.000000000000000444e-01,3.776688555787196755e+00
1.194598092791391508e+00,1.457500870914048008e+01,9.294863331344364710e+00,7.173951148986816406e+00,2.120912182357549192e+00,2.288938500321760772e-01,4.509414533776281431e+00,2.531436275972977512e+01,1.000000000000000000e+01,9.000000000000000222e-01,1.220076341749665083e+01
2.527765988744822501e+00,1.228005112320337133e+01,3.092483214499849531e+00,2.236120700836181641e+00,8.563623318695012809e-01,3.040605101633299112e-01,9.233002311006870411e-01,1.530672560935730608e+01,1.000000000000000000e+00,9.000000000000000222e-01,4.858064859596082918e+00
1.378745429781281562e+00,1.169185778912063967e+01,3.441731866672919971e+00,2.835849761962890625e+00,6.058822000774605199e-01,1.242077576156185997e-01,2.698508201732016776e+00,4.767164927337850600e+01,1.000000000000000000e+03,9.000000000000000222e-01,8.480070023496207199e+00
1.052520031926353905e+00,9.336537583819154662e+00,7.223015283961139232e+00,5.435742378234863281e+00,1.787272750754199446e+00,2.483025770665999998e-01,3.209469467988614433e+00,1.433259662516719324e+01,1.000000000000000000e+01,9.000000000000000222e-01,8.870650724557840761e+00
1.449135848624106604e+00,1.519756257967086555e+01,6.567913605097638552e+00,3.877073764801025391e+00,2.690840063814030181e+00,3.974366958247125270e-01,8.819090406142063188e+00,1.528694557743961369e+01,1.000000000000000000e+02,8.000000000000000444e-01,1.048732773680280594e+01
1.192282988621157447e+00,1.389333888389723271e+01,6.134171795611339739e+00,2.750125169754028320e+00,3.384046834473567689e+00,5.353144990037350670e-01,1.571300754670175515e+01,2.183368605151948572e+01,1.000000000000000000e+03,8.000000000000000444e-01,1.165271920885535906e+01
3.716501826034890765e+00,1.536301344972582505e+01,2.849454773239703975e+00,2.037796020507812500e+00,8.116589136644325464e-01,3.072753437367999885e-01,7.143809014270683377e-01,1.254316564998675254e+01,1.000000000000000000e+03,9.000000000000000222e-01,4.133729557753644812e+00
3.898214450653060492e+00,7.984950031060066067e+00,1.245958592587247171e+00,8.742483258247375488e-01,3.717102293349836550e-01,3.441623136563231045e-01,2.644047466661654244e-01,3.170175512703456544e+00,1.000000000000000000e+01,8.000000000000000444e-01,2.048360892439450964e+00
1.899032165873351108e+00,1.246089462626327382e+01,1.383214664252487847e+00,1.404108762741088867e+00,-2.089419683626478341e-02,-4.837704572913356094e-01,7.052650778478483096e-01,4.815019783923355590e+01,1.000000000000000000e+02,9.000000000000000222e-01,6.561708037490032730e+00
3.162857474137232838e+00,1.550495038569385997e+01,2.612734495758100906e+00,8.742483258247375488e-01,1.738486132505837389e+00,6.742182159894909432e-01,3.223452596791974489e+00,8.388219276226926979e+00,1.000000000000000000e+00,8.000000000000000444e-01,4.902196988792015375e+00
2.900765054922482378e+00,9.650883797749710169e+00,3.276525483787392501e-01,8.742483258247375488e-01,-5.465958148735242661e-01,-6.019290107163658199e+00,7.425673194167029534e-01,1.206525882828370300e+01,1.000000000000000000e+03,8.000000000000000444e-01,3.327013258578989774e+00
2.738123205943826299e+00,1.400563283633909251e+01,5.942953020061008118e-01,8.742483258247375488e-01,-2.799530612461628154e-01,-3.306000765052965473e-01,2.136846214450774661e-01,4.121961322220219159e+01,1.000000000000000000e+01,9.000000000000000222e-01,5.115048441186332617e+00
1.061642782461491130e+00,6.298436844833794623e+00,2.192282879476460611e+00,1.953180670738220215e+00,2.391022728132336517e-01,1.804593089562457897e-01,2.584256560254022395e-01,3.218248424928349039e+01,1.000000000000000000e+00,9.000000000000000222e-01,5.932727042358296288e+00
1.716925905693786891e+00,1.759602494991479205e+01,4.994910952778252700e+00,2.713731288909912109e+00,2.281179800959024284e+00,4.379554360209952923e-01,7.809294484722729912e+00,2.096533115232839251e+01,1.000000000000000000e+03,8.000000000000000444e-01,1.024856395465969250e+01
1.381507144362098760e+00,9.583281316232314495e+00,3.706780551150019587e+00,3.125381469726562500e+00,5.813992661978554244e-01,1.350927708053573095e-01,7.726037388729787292e-01,3.007760782158707258e+01,1.000000000000000000e+02,9.000000000000000222e-01,6.936830804923073579e+00
2.077235109279342851e+00,1.739619613372792628e+01,3.360406781101117790e+00,3.073434829711914062e+00,2.869718470810748712e-01,1.527534156213676830e-01,1.986108239477052617e+00,4.780636483697496431e+01,1.000000000000000000e+03,9.000000000000000222e-01,8.374688091885372998e+00
4.699424994531511857e+00,1.369042819681359902e+01,3.710932506329850389e-01,8.742483258247375488e-01,-5.031551126192784773e-01,-6.063485900263010375e-01,5.751294907191562000e-01,2.470652583691838799e+01,1.000000000000000000e+03,9.000000000000000222e-01,2.913213470317001619e+00
3.828096661372220932e+00,1.570453892564198739e+01,2.474431826300089288e+00,2.448713779449462891e+00,2.571806622213555077e-02,4.879676026368909986e-02,4.484209579889853609e-02,6.578783178775752916e+00,1.000000000000000000e+02,8.000000000000000444e-01,4.102440537646332430e+00
1.873511198893117680e+00,6.285594079194264161e+00,2.406967539518970689e+00,1.725237131118774414e+00,6.817304739653055057e-01,3.041957255025264928e-01,6.114741339733800185e-01,8.525137762921460194e+00,1.000000000000000000e+01,9.000000000000000222e-01,3.354980788429678285e+00
3.634931539103367193e+00,1.336947717710006778e+01,2.637540201730669054e+00,1.898661851882934570e+00,7.388782991837865577e-01,3.094907201604500946e-01,6.360057431474160916e-01,1.015261017901870311e+01,1.000000000000000000e+03,9.000000000000000222e-01,3.678054740034507830e+00
2.914544384584865977e+00,9.940968382878693888e+00,3.213678026643034674e-02,8.742483258247375488e-01,-8.421115829858332180e-01,3.196773002956987408e+00,1.053584172878060610e+00,3.188198022619715033e+01,1.000000000000000000e+02,9.000000000000000222e-01,3.410813860120589069e+00
3.925389268684074118e+00,1.248365606788698834e+01,2.992779392631519819e+00,1.567106246948242188e+00,1.425673179210890096e+00,5.040154618263817943e-01,2.429864169180970368e+00,1.600573948504009358e+00,1.000000000000000000e+03,9.000000000000000222e-01,3.180233911443880235e+00
4.802367458431950453e+00,1.079906235978517159e+01,8.329303830838948874e-01,8.742483258247375488e-01,-4.131798016836853854e-02,2.483848593662528470e-01,1.941838594519708014e-02,5.822245171409464959e+00,1.000000000000000000e+03,8.000000000000000444e-01,2.248695555527364665e+00
2.353733278451694666e+00,1.795378064549704433e+01,3.489606383076942819e+00,3.000826120376586914e+00,4.887803431666261633e-01,1.529343069206678951e-01,1.305211605152267085e+00,3.965955582031067195e+01,1.000000000000000000e+03,9.000000000000000222e-01,7.627788929979010923e+00
1.578772382441331334e+00,6.108232832907148691e+00,2.957596907005577869e+00,2.376209735870361328e+00,5.813869520881468356e-01,2.120772695806055208e-01,4.660630996983050056e-01,8.085844831537750466e+00,1.000000000000000000e+01,9.000000000000000222e-01,3.868976238019628866e+00
2.956844527804505685e+00,6.258644555378799268e+00,1.748046187808651508e+00,1.135312676429748535e+00,6.127334676067419661e-01,4.089035600881631427e-01,6.351111130908002611e-01,3.346766784748839818e+00,1.000000000000000000e+01,9.000000000000000222e-01,2.116663387785870931e+00
1.639783490979338065e+00,6.136005983753009652e+00,2.997852215470476978e+00,2.544369697570800781e+00,4.534825283304890209e-01,1.686831902674255923e-01,3.456366943054222096e-01,6.842338290005101520e+00,1.000000000000000000e+03,9.000000000000000222e-01,3.741961068341018493e+00
1.084628524036842290e+00,5.213490152529693056e+00,2.900358172067497353e+00,2.014118194580078125e+00,8.862399298037033635e-01,3.040980865382383880e-01,9.442047430903404148e-01,1.761066191807406511e+01,1.000000000000000000e+02,9.000000000000000222e-01,4.806705740252689374e+00
2.230050658591499424e+00,1.798854413798160579e+01,5.128782410348613041e+00,4.279164314270019531e+00,8.496180394541810177e-01,1.556400066043939490e-01,1.037578282878331759e+00,2.769309463165141949e+01,1.000000000000000000e+02,9.000000000000000222e-01,8.066428477164359734e+00
1.849851469873579735e+00,9.724336278450323334e+00,6.334491099370426204e-01,8.742483258247375488e-01,-2.407992533152208681e-01,1.768312587575585348e-01,2.150707374662751692e-01,4.066427606237877512e+01,1.000000000000000000e+00,9.000000000000000222e-01,5.256820040321882992e+00
3.142222743811966534e+00,1.760306689288156434e+01,5.035107911267502345e+00,4.031121253967285156e+00,1.003986550011857215e+00,2.115314956923565748e-01,1.279717515013828688e+00,1.988587162838467259e+00,1.000000000000000000e+02,8.000000000000000444e-01,5.602106638540374384e+00
1.112865981913727875e+00,1.396494374129985694e+01,1.084022060533866139e+01,6.642920017242431641e+00,4.197301559651937630e+00,3.834563606146962345e-01,1.848713160293894120e+01,6.135162084510516145e+00,1.000000000000000000e+02,8.000000000000000444e-01,1.254863026479180554e+01
3.821262782414174719e+00,1.212124951115772475e+01,2.862057078613834626e+00,1.524454116821289062e+00,1.337602870895462148e+00,4.889645968115434727e-01,2.180039458071207470e+00,1.032441907233538902e+00,1.000000000000000000e+01,8.000000000000000444e-01,3.172053376423338733e+00
3.201869621282842804e+00,1.231965928628175533e+01,2.211225027193820303e+00,1.737455010414123535e+00,4.737700868151542011e-01,2.300915916202286304e-01,2.264024826973770332e-01,1.592518507429332431e+01,1.000000000000000000e+03,9.000000000000000222e-01,3.847645514480951157e+00
1.497683430371087532e+00,1.659895533100465315e+01,1.080751514041816996e+01,8.681572914123535156e+00,2.125942047480699593e+00,1.974273736606688145e-01,4.629654579556317984e+00,2.229397316109295701e+00,1.000000000000000000e+01,9.000000000000000222e-01,1.108308671538941859e+01
