# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
2.262298233424998806e+00,5.942473688136361787e+00,2.419671925093731524e+00,3.489650011062622070e+00,-1.069978205178180319e+00,4.395873181954634279e-01,1.214005634152555579e+00,9.594694985717532321e-01,4.351033637149472000e+00,8.000000000000000444e-01,2.626741956625132435e+00
2.783996150624550303e+00,4.706359132400956824e+00,1.132049608277212460e+00,2.762282133102416992e+00,-1.630232486082185073e+00,1.466925095124341327e+00,2.677467755767327873e+00,3.335712518664759596e+00,8.815344817754075635e+00,8.000000000000000444e-01,1.690504899349502210e+00
2.762181829240587749e+00,1.985482049041860364e+01,5.736992276994788753e+00,5.700087070465087891e+00,3.690557607849782873e-02,1.945155794839191141e-02,2.052107437661587069e-02,8.042389540666459169e+00,4.299844428042730371e+00,8.000000000000000444e-01,7.188093224071830711e+00
2.127989629982619757e+00,3.472877557399047355e+00,1.434439155676668243e+00,1.661537885665893555e+00,-2.270986972066706966e-01,1.643982805270674530e-01,1.789005100111381863e-01,1.014288153320095587e+00,1.774209063364154404e-01,8.000000000000000444e-01,1.631999286306396124e+00
2.702861588101383994e+00,1.367528570076142458e+01,4.007220751687073701e+00,4.359934806823730469e+00,-3.527140581168894395e-01,8.861259609429934792e-02,1.330298264538377073e-01,5.905752185321286873e+00,6.783612922410641843e+00,8.000000000000000444e-01,5.059558270006561109e+00
1.758223470831936197e+00,4.114068048264456934e+00,1.718036451070249715e+00,2.663250923156738281e+00,-9.452144333434695511e-01,5.487081209030237883e-01,9.250955516156385006e-01,3.309777210911085454e+00,3.087095094326005817e+00,8.000000000000000444e-01,2.339900539672473467e+00
4.321825199423744657e+00,1.357353335394287264e+01,2.806325894476889182e+00,4.143456459045410156e+00,-1.337130558608056630e+00,4.739982997524043173e-01,1.855512911900383699e+00,1.779127253197713143e+00,2.859961802346285609e+00,8.000000000000000444e-01,3.140694666631291820e+00
3.035877767571573127e+00,1.119896828574369074e+01,2.376143362041337248e+00,5.876907825469970703e+00,-3.500764099840300680e+00,1.479222872316142912e+00,1.231037281230239522e+01,7.644886121190359596e+00,3.540914789442717314e+00,8.000000000000000444e-01,3.688873249564935453e+00
1.987681317345132648e+00,6.127789610383616470e+00,2.136480795176696645e+00,3.448976039886474609e+00,-1.312495423523712734e+00,6.247353409892276721e-01,1.734238183428849833e+00,5.293909719423477434e+00,9.729245662077220302e+00,8.000000000000000444e-01,3.082883335930461932e+00
4.089591012172109075e+00,1.878451920710562462e+01,4.325892201435193485e+00,5.625150680541992188e+00,-1.299258407581224573e+00,2.998493029441101632e-01,1.721293199987607547e+00,1.335263002538876753e+00,7.332795078906499953e+00,8.000000000000000444e-01,4.593251293636961385e+00
3.951474372759238740e+00,1.625634100320650077e+01,2.543882579636647101e+00,3.982516050338745117e+00,-1.438633572029993868e+00,5.839873036668292716e-01,2.157415255252758790e+00,9.994830800495332568e+00,9.811683793228247907e+00,8.000000000000000444e-01,4.113993782997765081e+00
2.868427309419824489e+00,7.043989796855000485e+00,2.175191108102684900e+00,3.081447124481201172e+00,-9.062561743308247264e-01,4.140363807509391814e-01,8.641102272692091635e-01,1.424728755025647553e+00,6.747482605832503921e+00,8.000000000000000444e-01,2.455697508430058740e+00
1.659190910408266717e+00,1.222883765022213609e+01,5.634337460100534933e+00,5.723375320434570312e+00,-8.903755635034668603e-02,1.986980245989196023e-02,4.506356936385638029e-02,9.110859524208597904e+00,2.018282768049441955e+00,8.000000000000000444e-01,7.370362008078420679e+00
3.297359823792298972e+00,1.731284009392498646e+01,3.714521831751322445e+00,4.927537441253662109e+00,-1.213015919446492230e+00,3.282120279404113217e-01,1.494542959502783486e+00,9.119563828638160174e+00,7.026374295535049441e+00,8.000000000000000444e-01,5.250515873033675618e+00
1.438647335040399877e+00,1.150191053039990763e+01,7.439012920608959689e+00,5.521529197692871094e+00,1.917483967295133152e+00,2.586889427393186391e-01,3.755939773195904330e+00,2.820632907891256647e+00,2.490867243167711020e+00,8.000000000000000444e-01,7.994947927997177572e+00
3.086124504968052129e+00,8.529514721685734102e+00,1.592519985407572891e+00,3.908833265304565430e+00,-2.316313497453946102e+00,1.483189211945859398e+00,5.410315579620189830e+00,7.080267003616609323e+00,5.629734442149445961e+00,8.000000000000000444e-01,2.763827158611034562e+00
2.574028588022045483e+00,3.634330460259310058e+00,5.121884051895444490e-01,2.288362979888916016e+00,-1.776174440588921044e+00,4.388942642165444497e+00,3.185741019419395137e+00,6.028967542641863631e+00,9.020473266258983713e+00,8.000000000000000444e-01,1.411923114285233982e+00
1.979361444457408803e+00,1.300356109704128826e+01,6.298127051858081416e+00,3.243505477905273438e+00,3.054621570972575917e+00,4.854467805806397251e-01,9.377462736190690151e+00,1.352348666760099016e+00,1.429602712704388878e+00,8.000000000000000444e-01,6.569573805458195359e+00
1.581702319457815697e+00,9.287514158897518968e+00,4.303771846776726306e+00,4.589480400085449219e+00,-2.857085115854716140e-01,6.848481171767641096e-02,9.802230963000777009e-02,8.283632115527028716e+00,4.005893373907031929e+00,8.000000000000000444e-01,5.871847088193651309e+00
4.240279378771944607e+00,9.630035065214572754e+00,1.648484967004165469e+00,3.153422117233276367e+00,-1.504937141288414049e+00,9.184486365270665420e-01,2.298510473217315386e+00,3.925259996062506307e+00,7.777990958280301292e+00,8.000000000000000444e-01,2.271085040628523899e+00
3.315545062928738851e+00,6.653552298871248993e+00,1.267129939729363830e+00,3.745053052902221680e+00,-2.477923181718199253e+00,1.950903019374020886e+00,6.243466949314619541e+00,4.306098275875795522e+00,1.280151868270742233e+00,8.000000000000000444e-01,2.006774805525921135e+00
4.667101640223582315e+00,1.704526053318551604e+01,2.685866551989685824e+00,5.472666263580322266e+00,-2.786799187069762151e+00,1.040745102406835487e+00,7.826319912808168411e+00,6.191718461595409728e+00,3.828449672524098624e+00,8.000000000000000444e-01,3.652215410583803834e+00
1.665952926192441730e+00,1.399782527227817042e+01,7.621325658437003270e+00,4.780681610107421875e+00,2.840644155617942257e+00,3.735617303555278657e-01,8.088858508410245562e+00,4.083644493692003330e+00,9.830068493800114382e+00,8.000000000000000444e-01,8.402293397491362725e+00
4.600717708261038652e+00,1.680555544726638928e+01,3.345378208648073670e+00,4.166030883789062500e+00,-8.206527526270270823e-01,2.444472060696577798e-01,7.468744764583397089e-01,1.429949583114211054e+00,6.986210422043013235e-01,8.000000000000000444e-01,3.652811694377677387e+00
2.689416537177406141e+00,7.116616480475552287e+00,1.920865612729925953e+00,5.954752445220947266e+00,-4.033886898056129766e+00,2.114925295406557382e+00,1.632995044779596583e+01,4.098181441179046480e+00,5.530806368583939481e+00,8.000000000000000444e-01,2.646156287840997212e+00
