# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
3.690929362783295531e+00,1.321824819056235611e+01,2.700913156599619391e+00,8.742483258247375488e-01,1.826664793347356319e+00,6.831191895289340232e-01,3.609974203762791767e+00,4.858429383067972118e+00,7.065155318488521852e-01,8.000000000000000444e-01,3.581279101097345041e+00
3.025661229249286599e+00,6.399594980082857987e+00,7.351535489723197703e-01,8.742483258247375488e-01,-1.390948142799437459e-01,3.214032435868303672e-01,1.633029218748965616e-01,9.146260879635311980e+00,2.368105493539636619e+00,8.000000000000000444e-01,2.115106251227833578e+00
2.313513823777446632e+00,5.433377591999450473e+00,1.859603075737986888e+00,8.742483258247375488e-01,9.853547124857232609e-01,5.604269471976606187e-01,1.239934769697923267e+00,2.542340703242002231e+00,1.785799155403602567e+00,8.000000000000000444e-01,2.348539064758199846e+00
1.463955851515386097e+00,1.324091716210521241e+01,8.177658136112842868e+00,6.427070617675781250e+00,1.750586928351076876e+00,2.142128745012316648e-01,3.259910219877458104e+00,4.474633201293079843e+00,2.318565925716047915e-01,8.000000000000000444e-01,9.044615073876117961e+00
1.200015467040719486e+00,1.713678830078059878e+00,1.219428835898763719e+00,2.130911111831665039e+00,-9.114822222887208891e-01,7.353381330196204768e-01,1.416590620639177178e+00,1.242104803721405970e+00,8.205102680418097094e+00,8.000000000000000444e-01,1.428047285343790218e+00
3.709670734713346185e+00,5.484098930693888541e+00,3.450095744452191804e-01,8.742483258247375488e-01,-5.292387888070443358e-01,5.888878225696672075e-01,3.818861098094291084e-01,8.332624801017336935e+00,4.433750798097515933e+00,8.000000000000000444e-01,1.478324984310947832e+00
1.005928008275010832e+00,6.388312924489246925e+00,5.261345922112506734e+00,3.427521228790283203e+00,1.833824875116389919e+00,3.489642880581086959e-01,3.486466255036682949e+00,5.553027662298037903e+00,8.721931695886469882e+00,8.000000000000000444e-01,6.350666123159327547e+00
4.685681991469774488e+00,1.813061318066213090e+01,3.080672555929036438e+00,1.320285797119140625e+00,1.760386786377043933e+00,5.836300858194097829e-01,3.332182485367049196e+00,4.896522564944820743e+00,4.749771018350166685e+00,8.000000000000000444e-01,3.869364846711468964e+00
4.397603668864721094e+00,5.994355342664405839e+00,9.768412011735513323e-01,8.742483258247375488e-01,1.025928379212877883e-01,2.395773479379426918e-01,2.092943684020784068e-01,2.488727565264710950e+00,6.266948098707688430e+00,8.000000000000000444e-01,1.363095857206226835e+00
1.124541493049156848e+00,1.708410811985641375e+00,3.401176257305247308e-01,1.039200544357299805e+00,-6.990828653551237615e-01,2.090488292472347354e+00,6.820570630115796451e-01,9.550579043352115605e+00,3.797352289956101856e+00,8.000000000000000444e-01,1.519206558891253112e+00
